Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots on target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries in opposite half,Yellow card,Red card
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,2023-11-02,RW,26,8,4,0,0,0,0,0,3,3,0,0,0,0,0,0,4,1,0,0,0,1,0,2,1,0,0
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,RW,54,35,15,0,0,0,0,0,17,10,1,0,3,0,3,2,13,5,3,1,0,9,3,1,1,69,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,"LW, RW",42,28,11,0,1,1,0,0.23,10,5,1,0,3,0,3,0,10,3,4,2,2,12,2,3,0,0,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,RW,32,20,6,0,0,0,0,0,7,4,0,0,2,0,1,0,8,2,1,1,3,3,1,0,0,0,0
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,0,12,5,2,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,"RB, RCMF3, RW",38,22,10,0,0,0,0,0,11,5,0,0,2,0,1,0,7,5,1,1,3,6,1,1,1,72,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,RW,42,24,6,0,0,0,0,0,5,2,0,0,2,0,1,1,12,4,4,1,3,6,3,1,0,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,RW,62,37,20,1,0,1,1,0.17,17,12,1,0,2,0,4,2,17,6,0,0,1,5,3,6,3,0,0
