Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots on target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp half,Yellow card,Red card
Belmont Bruins - Wofford Terriers 1:0,United States. NCAA D1 Southern,2021-10-10,LB,98,59,26,1,0,1,1,0.13,22,11,5,2,1,0,5,3,30,13,5,3,7,24,9,10,1,0,0
Belmont Bruins - IUPUI Jaguars 4:0,United States. NCAA D1 Non-conference matches,2021-10-05,LB,15,15,9,0,0,0,0,0,7,7,2,2,0,0,1,1,5,2,0,0,0,3,1,1,0,0,0
VMI Keydets - Belmont Bruins 0:5,United States. NCAA D1 Southern,2021-10-02,LB,75,68,53,0,1,0,0,0,37,33,1,1,2,0,7,5,23,17,2,2,5,8,3,8,1,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2021-09-30,LB,96,76,49,0,0,0,0,0,47,34,6,3,2,2,4,4,20,13,4,2,8,20,9,12,2,0,0
Furman Paladins - Belmont Bruins 2:1,United States. NCAA D1 Southern,2021-09-26,LB,103,63,21,0,0,0,0,0,24,12,6,1,3,1,7,0,31,8,3,1,5,17,8,7,0,0,0
Belmont Bruins - ETSU Buccaneers 1:0,United States. NCAA D1 Southern,2021-09-19,LB,95,70,41,0,0,0,0,0,36,27,10,7,1,0,2,1,30,13,5,2,3,18,4,13,1,0,0
Belmont Bruins - Georgia State Panthers 2:1 (E),United States. NCAA D1 Non-conference matches,2021-09-11,LB,112,92,50,0,0,1,0,0.13,51,27,10,4,5,1,9,9,28,20,6,4,8,36,12,12,4,0,0
Belmont Bruins - SIUE Cougars 1:0,United States. NCAA D1 Non-conference matches,2021-09-07,LB,97,67,35,0,0,2,1,0.65,37,24,6,1,2,0,2,1,22,10,2,1,3,24,8,11,2,0,0
Central Arkansas Bears - Belmont Bruins 1:0,United States. NCAA D1 Non-conference matches,2021-08-30,"CF, LB, LW",67,55,21,0,0,0,0,0,19,9,5,0,4,2,4,1,31,11,4,2,4,17,5,6,4,0,0
Missouri State Bears - Belmont Bruins 3:1,United States. NCAA D1 Non-conference matches,2021-08-27,CF,51,50,21,0,0,2,2,0.3,5,4,0,0,0,0,1,1,27,15,13,8,1,15,3,1,1,0,0
South Carolina Gamecocks - Kentucky Wildcats 1:2,United States. NCAA D1 Conference USA,2021-04-17,CF,11,11,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0
Kentucky Wildcats - Old Dominion Monarchs 2:1 (E),United States. NCAA D1 Conference USA,2021-04-10,"CF, LW",31,23,12,0,0,1,1,0.07,5,1,1,0,1,0,3,2,14,9,5,4,0,8,1,0,0,0,0
UAB Blazers - Kentucky Wildcats 1:0 (E),United States. NCAA D1 Conference USA,2021-03-27,LAMF,29,27,9,0,0,0,0,0,5,2,0,0,2,1,3,3,15,6,3,1,0,6,0,0,0,0,0
Kentucky Wildcats - Marshall Thundering Herd 0:1,United States. NCAA D1 Conference USA,2021-03-18,"CF, LAMF",25,18,4,0,0,0,0,0,4,3,0,0,0,0,1,1,6,1,0,0,1,1,0,1,0,0,0
FAU Owls - Kentucky Wildcats 1:3,United States. NCAA D1 Conference USA,2021-03-13,"CF, LAMF",51,49,19,0,0,0,0,0,13,9,1,1,0,0,2,1,25,10,7,3,2,12,3,3,3,0,0
Kentucky Wildcats - Charlotte 49ers 1:2,United States. NCAA D1 Conference USA,2021-03-06,LAMF,28,20,9,0,0,1,1,0.06,1,0,0,0,0,0,2,2,12,8,4,4,3,5,3,3,1,0,0
Kentucky Wildcats - Bowling Green State Falcons 1:0,United States. NCAA D1 Non-conference matches,2021-03-02,LAMF,29,23,11,0,0,0,0,0,6,2,2,0,0,0,1,1,12,8,4,3,1,6,2,2,1,0,0
Kentucky Wildcats - Akron Zips 1:1,United States. NCAA D1 Non-conference matches,2021-02-25,LAMF,42,29,12,0,0,0,0,0,8,3,2,1,1,0,3,1,17,9,2,1,1,9,0,3,3,0,0
Duke Blue Devils University - Kentucky Wildcats 0:1,United States. NCAA D1 Non-conference matches,2021-02-20,LAMF,15,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,2,1,1,0,0,0
Kentucky Wildcats - Xavier Musketeers 2:1,United States. NCAA D1 Non-conference matches,2021-02-09,0,17,8,3,0,0,0,0,0,2,0,1,0,0,0,2,1,4,3,0,0,1,4,2,2,2,0,0
Kentucky Wildcats - Louisville Cardinals 3:1,United States. NCAA D1 Non-conference matches,2020-09-28,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0
