Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots on target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duals won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opposite half,Yellow card,Red card
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,RCB,17,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,2,0,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,RCB,95,67,55,0,0,0,0,0,55,50,7,5,0,0,0,0,7,5,5,4,5,9,4,14,4,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,RB,47,26,15,0,0,1,0,0.17,14,11,1,0,0,0,0,0,3,1,2,1,5,5,4,7,0,0,0
